rank,title,studio,lifetime_gross,year
2425,Fireproof,Gold.,33456317,2008
2426,2016 Obama's America,RM,33449086,2012
2427,The Long Kiss Goodnight,NL,33447612,1996
2428,Doubt,Mira.,33446470,2008
2429,Black Knight,Fox,33426971,2001
2430,Street Fighter,Uni.,33423521,1994
2431,Blue Jasmine,SPC,33405481,2013
2432,Halloween II (2009),W/Dim.,33392973,2009
2433,Monster Trucks,Par.,33370166,2017
2434,See Spot Run,WB,33357476,2001
2435,The Informant!,WB,33316821,2009
2436,Woman in Gold,Wein.,33307793,2015
2437,Mr. Bean's Holiday,Uni.,33302167,2007
2438,...And Justice for All,Col.,333e5,1979
2439,Friday After Next,NL,33253609,2002
2440,Child's Play,UA,33244684,1988
2441,Grand Canyon,Fox,33243020,1991
2442,Breach,Uni.,33231264,2007
2443,Amelie,Mira.,33225499,2001
2444,Forget Paris,Sony,33177694,1995
2445,Striptease,Sony,33109743,1996
2446,Teen Wolf,Atl,33086611,1985
2447,Zodiac,Par.,33080084,2007
2448,The Second Best Exotic Marigold Hotel,FoxS,33078266,2015
2449,The Rite,WB (NL),33047633,2011
2450,Arthur (2011),WB,33035397,2011
2451,Daylight,Uni.,33023469,1996
2452,Dracula 2000,Mira.,33022767,2000
2453,Tron,BV,33e6,1982
2454,Friday the 13th: Final Chapter,Par.,32980880,1984
2455,* batteries not included,Uni.,32945797,1987
2456,Mercury Rising,Uni.,32935289,1998
2457,The Joy Luck Club,BV,32901136,1993
2458,Balls of Fury,Rog.,32886940,2007
2459,In Her Shoes,Fox,32880591,2005
2460,Blade Runner,WB,32868943,1982
2461,Bad News Bears,Par.,32868349,2005
2462,Drillbit Taylor,Par.,32862104,2008
2463,Team America: World Police,Par.,32786074,2004
2464,Homeward Bound II: Lost in San Francisco,BV,32772492,1996
2465,The Last House on the Left (2009),Uni.,32752215,2009
2466,Dreamer: Inspired by a True Story,DW,32751093,2005
2467,Hereafter,WB,32746941,2010
2468,Annihilation,Par.,32732301,2018
2469,Return to Me,MGM,32722798,2000
2470,Driven,WB,32720065,2001
2471,The 13th Warrior,BV,32698899,1999
2472,Taking Lives,WB,32682342,2004
2473,When in Rome,BV,32680633,2010
2474,Tommy Boy,Par.,32679899,1995
2475,Coming Home,UA,32653905,1978
2476,Because of Winn-Dixie,Fox,32647042,2005
2477,The Accidental Tourist,WB,32632093,1988
2478,Just Friends,NL,32619671,2005
2479,Proof of Life,WB,32598931,2000
2480,Hard Target,Uni.,32589677,1993
2481,Planet of the Apes,Fox,32589624,1968
2482,The Pianist,Focus,32572577,2002
2483,Darkness Falls,SonR,32551396,2003
2484,October Sky,Uni.,32547800,1999
2485,Bend It Like Beckham,FoxS,32543449,2003
2486,Almost Famous,DW,32534850,2000
2487,Mother's Day,ORF,32492859,2016
2488,Jungle Fever,Uni.,32482682,1991
2489,Unfriended,Uni.,32482090,2015
2490,Paranormal Activity: The Marked Ones,Par.,32462372,2014
2491,The Sandlot,Fox,32434006,1993
2492,The Men Who Stare at Goats,Over.,32428195,2009
2493,Black Sheep,Par.,32417995,1996
2494,Rumble in the Bronx,NL,32392047,1996
2495,(500) Days of Summer,FoxS,32391374,2009
2496,Bride of Chucky,Uni.,32383850,1998
2497,Nightcrawler,ORF,32381217,2014
2498,Love and Other Drugs,Fox,32367005,2010
2499,Entourage,WB,32363404,2015
2500,Nothing in Common,TriS,32324557,1986
2501,What's the Worst That Could Happen?,MGM,32269834,2001
2502,The Age of Innocence,Col.,32255440,1993
2503,Kevin Hart: Let Me Explain,LG/S,32244051,2013
2504,"Definitely, Maybe",Uni.,32241649,2008
2505,Anacondas: The Hunt for the Blood Orchid,SGem,32238923,2004
2506,The Love Guru,Par.,32235793,2008
2507,The Lost Boys,WB,32222567,1987
2508,The Bad News Bears,Par.,32211330,1976
2509,Silverado,Col.,32192570,1985
2510,Fist Fight,WB (NL),32187017,2017
2511,Side Effects (2013),ORF,32172757,2013
2512,How to be a Latin Lover,PNT,32149404,2017
2513,Final Fantasy: The Spirits Within,Sony,32131830,2001
2514,Analyze That,WB,32130627,2002
2515,Stealth,Sony,32116746,2005
2516,The Lawnmower Man,NL,32100816,1992
2517,The Accused,Par.,32078318,1988
2518,House of Wax,WB,32064800,2005
2519,The Shadow,Uni.,32063435,1994
2520,Mr. Magorium's Wonder Emporium,Fox,32061555,2007
2521,Copycat,WB,32051917,1995
2522,Leaving Las Vegas,MGM,32029928,1995
2523,Scary Movie 5,W/Dim.,32015787,2013
2524,Isle Of Dogs,FoxS,32015231,2018
2525,Earth (2009),BV,32011576,2009
2526,She's Out of My League,Par.,32010860,2010
2527,Cellular,NL,32003620,2004
2528,Paper Towns,Fox,32000304,2015
2529,Metro,BV,32000301,1997
2530,Psycho,Par.,32e6,1960
2531,Murder by Numbers,WB,31945749,2002
2532,Lean on Me,WB,31906454,1989
2533,Dressed to Kill,Orion,31899e3,1980
2534,Cop and a Half,Uni.,31889691,1993
2535,Patriots Day,LGF,31886361,2016
2536,Children of a Lesser God,Par.,31853080,1986
2537,Extremely Loud & Incredibly Close,WB,31847881,2011
2538,Milk,Focus,31841299,2008
2539,Push,Sum.,31811527,2009
2540,The Outlaw Josey Wales,WB,318e5,1976
2541,Lake Placid,Fox,31770414,1999
2542,1941,Uni.,31755742,1979
2543,The Bear,TriS,31753898,1989
2544,9,Focus,31749894,2009
2545,The Wedding Date,Uni.,31726995,2005
2546,The Soloist,P/DW,31720158,2009
2547,Transporter 3,LGF,31715062,2008
2548,Quarantine,SGem,31691811,2008
2549,"History of the World, Part I",Fox,31672907,1981
2550,August Rush,WB,31664162,2007
2551,For Richer or Poorer,Uni.,31642995,1997
2552,Can't Buy Me Love,BV,31623833,1987
2553,House at the End of The Street,Rela.,31611916,2012
2554,From Hell,Fox,31602566,2001
2555,One Hour Photo,FoxS,31597131,2002
2556,Rob Roy,MGM,31596911,1995
2557,Chappie,Sony,31569268,2015
2558,Little Big Man,NGP,31559552,1970
2559,"Good Night, and Good Luck.",WIP,31558003,2005
2560,Scott Pilgrim vs. the World,Uni.,31524275,2010
2561,A History of Violence,NL,31504633,2005
2562,Random Hearts,Sony,31502583,1999
2563,First Man,Uni.,31493805,2018
2564,Nick and Norah's Infinite Playlist,Sony,31487293,2008
2565,United 93,Uni.,31483450,2006
2566,Beverly Hills Ninja,Sony,31480418,1997
2567,Zack and Miri Make a Porno,Wein.,31457946,2008
2568,Adrift,STX,31445012,2018
2569,Chef,ORF,31424003,2014
2570,The Eye,LGF,31418697,2008
2571,Picture Perfect,Fox,31407873,1997
2572,Eddie,BV,31387164,1996
2573,Leatherheads,Uni.,31373938,2008
2574,Tyler Perry's Daddy's Little Girls,LGF,31366978,2007
2575,Monster's Ball,Lions,31273922,2001
2576,Bustin' Loose,Uni.,31261269,1981
2577,The Great Muppet Caper,Uni.,31206251,1981
2578,Johnson Family Vacation,FoxS,31203964,2004
2579,The Core,Par.,31186896,2003
2580,Endless Love,Uni.,31184024,1981
2581,The Secret Garden,WB,31181347,1993
2582,How High,Uni.,31178740,2001
2583,The Debt,Focus,31177548,2011
2584,The Mortal Instruments: City of Bones,SGem,31165421,2013
2585,Charlie St. Cloud,Uni.,31162545,2010
2586,Gods of Egypt,LG/S,31153464,2016
2587,A Perfect World,WB,31130999,1993
2588,Crimson Peak,Uni.,31090320,2015
2589,High Anxiety,Fox,31063038,1977
2590,Air America,TriS,31053601,1990
2591,The Pirates! Band of Misfits,Sony,31051126,2012
2592,Conan the Destroyer,Uni.,31042035,1984
2593,Calendar Girls,BV,31041759,2003
2594,Collateral Beauty,WB (NL),31016021,2016
2595,Morning Glory,Par.,31011732,2010
2596,Get Rich or Die Tryin',Par.,30985352,2005
2597,Nuts,WB,30950002,1987
2598,Hollywood Homicide,SonR,30940691,2003
2599,Joyful Noise,WB,30932113,2012
2600,Dune,Uni.,30925690,1984
2601,The Legend of Bagger Vance,DW,30919168,2000
2602,Home Alone 3,Fox,30882515,1997
2603,Murphy's Romance,Col.,30867525,1985
2604,Powder,BV,30862156,1995
2605,The Texas Chainsaw Massacre,N/A,30859e3,1974
2606,The Princess Bride,Fox,30857814,1987
2607,I Love Trouble,BV,30806194,1994
2608,Exorcist II: The Heretic,WB,30749142,1977
2609,Kidnap (2017),Aviron,30718107,2017
2610,Get On Up,Uni.,30703100,2014
2611,Toy Story / Toy Story 2 (3D),BV,30702446,2009
2612,3 Days to Kill,Rela.,30697999,2014
2613,Mirrors,Fox,30691439,2008
2614,Young Doctors in Love,Fox,30688860,1982
2615,Predator 2,Fox,30669413,1990
2616,Delivery Man,BV,30664106,2013
2617,Dogma,Lions,30652890,1999
2618,Superstar,Par.,30636478,1999
2619,Major League II,WB,30626182,1994
2620,Super Troopers 2,Fox,30617396,2018
2621,Open Water,Lions,30610863,2004
2622,Blank Check,BV,30577969,1994
2623,Deliver Us From Evil,SGem,30577122,2014
2624,An American Werewolf in London,Uni.,30565292,1981
2625,Slender Man,SGem,30542963,2018
2626,Sleepwalkers,Col.,30524763,1992
2627,Uncommon Valor,Par.,30503151,1983
2628,"Hail, Caesar!",Uni.,30498085,2016
2629,The Lord of the Rings (1978),UA,30471420,1978
2630,The Champ,MGM,30441738,1979
2631,The Sitter,Fox,30441326,2011
2632,Sgt. Bilko,Uni.,30356793,1996
2633,Halloween: Resurrection,Dim.,30354442,2002
2634,Underworld: Blood Wars,SGem,30353973,2017
2635,The Mountain Between Us,Fox,30348555,2017
2636,Queen of the Damned,WB,30336800,2002
2637,A Night at the Roxbury,Par.,30331165,1998
2638,Snatch,SGem,30328156,2000
2639,Dragonfly,Uni.,30323400,2002
2640,Honey,Uni.,30308417,2003
2641,The Banger Sisters,FoxS,30307416,2002
2642,Assassins,WB,30303072,1995
2643,The Fighting Temptations,Par.,30250745,2003
2644,The Great Debaters,MGM/W,30236407,2007
2645,Life (2017),Sony,30234022,2017
2646,Weekend at Bernie's,Fox,30218387,1989
2647,How Do You Know,Sony,30212620,2010
2648,The Art of War,WB,30208599,2000
2649,Being There,MGM,30177511,1979
2650,Riding in Cars with Boys,Sony,30165536,2001
2651,Bad Company,BV,30160161,2002
2652,Blown Away,MGM,30156002,1994
2653,Wild Things,Sony,30147739,1998
2654,When the Game Stands Tall,TriS,30127963,2014
2655,Ghost Ship,WB,30113491,2002
2656,Space Chimps,Fox,30105968,2008
2657,Double Impact,Col.,30102717,1991
2658,Daybreakers,LGF,30101577,2010
2659,Jay and Silent Bob Strike Back,Mira.,30085147,2001
2660,Elizabeth,Gram.,30082699,1998
2661,Free Willy 2: The Adventure Home,WB,30077111,1995
2662,Revenge of the Nerds II: Nerds in Paradise,Fox,30063289,1987
2663,The Bank Job,LGF,30060660,2008
2664,Road House,UA,30050028,1989
2665,Point of No Return,WB,30038362,1993
2666,Sophie's Choice,Uni.,30036e3,1982
2667,The Gods Must Be Crazy,Fox,30031783,1984
2668,The Iron Lady,Wein.,30017992,2011
2669,"I, Tonya",Neon,30014539,2017
2670,Goosebumps 2: Haunted Halloween,Sony,30010073,2018
2671,A Nightmare on Elm Street 2: Freddy's Revenge,NL,29999213,1985
2672,Madeline,Sony,29967750,1998
2673,Neighbors (1981),Col.,29916207,1981
2674,Green Card,BV,29888235,1990
2675,Jumpin' Jack Flash,Fox,29844101,1986
2676,Double Take,BV,29831583,2001
2677,Hostiles,ENTMP,29819114,2017
2678,Grudge Match,WB,29807260,2013
2679,Serpico,Par.,298e5,1973
2680,Mystery Men,Uni.,29762011,1999
2681,Harry and the Hendersons,Uni.,29760613,1987
2682,The New Guy,SonR,29760152,2002
2683,When the Bough Breaks,SGem,29747603,2016
2684,The World According to Garp,WB,29712172,1982
2685,Never Cry Wolf,BV,296e5,1983
2686,Did You Hear About the Morgans?,Sony,29580087,2009
2687,Teen Titans Go! To The Movies,WB,29562341,2018
2688,The Fog (2005),SonR,29550869,2005
2689,A Walk in the Woods,BG,29504281,2015
2690,Fools Rush In,Sony,29481428,1997
2691,Twilight Zone: The Movie,WB,29450919,1983
2692,Major Payne,Uni.,29412050,1995
2693,A Low Down Dirty Shame,BV,29392418,1994
2694,Pacific Heights,Fox,29381956,1990
2695,Bless the Child,Par.,29381494,2000
2696,Spice World,Sony,29342592,1998
2697,Confessions of a Teenage Drama Queen,BV,29331068,2004
2698,Easy Money,Orion,29309766,1983
2699,Shoot to Kill,BV,29300090,1988
2700,Zathura,Sony,29258869,2005
2701,Romy & Michele's High School Reunion,BV,29235353,1997
2702,"Fort Apache, The Bronx",Fox,292e5,1981
2703,Chinatown,Par.,292e5,1974
2704,The Object of My Affection,Fox,29187243,1998
2705,The Rose,Fox,29174648,1979
2706,Priest,SGem,29136626,2011
2707,The Last Picture Show,Col.,29133e3,1971
2708,The Mechanic,CBS,29121498,2011
2709,The Insider,BV,29089912,1999
2710,Rent,SonR,29077547,2005
2711,The Stepfather (2009),SGem,29062561,2009
2712,Out to Sea,Fox,29022252,1997
2713,Nanny McPhee Returns,Uni.,29011215,2010
2714,3 Ninjas,BV,29000301,1992
2715,Herbie Goes to Monte Carlo,Dis.,29e6,1977
2716,Chimpanzee,BV,28972764,2012
2717,The Watcher,Uni.,28946615,2000
2718,James and the Giant Peach,BV,28946127,1996
2719,"Girl, Interrupted",Sony,28912646,1999
2720,The Dream Team,Uni.,28890240,1989
2721,In the Army Now,BV,28881266,1994
2722,One Direction: This is Us,TriS,28873374,2013
2723,L.A. Story,TriS,28862081,1991
2724,Zoolander 2,Par.,28848693,2016
2725,Draft Day,LG/S,28842237,2014
2726,The Five-Year Engagement,Uni.,28835528,2012
2727,Kick-Ass 2,Uni.,28795985,2013
2728,Point Break (2015),WB,28782481,2015
2729,Molly's Game,STX,28780744,2017
2730,Capote,SPC,28750530,2005
2731,Starman,Col.,28744356,1984
2732,Deceived,BV,28738096,1991
2733,Drop Zone,Par.,28735315,1994
2734,Baby Boy,Sony,28734552,2001
2735,The Last Starfighter,Uni.,28733290,1984
2736,Untraceable,SGem,28687835,2008
2737,Defiance,ParV,28644813,2008
2738,28 Weeks Later,FoxA,28638916,2007
2739,Hoosiers,Orion,28607524,1986
2740,Father's Day,WB,28598376,1997
2741,The Uninvited,P/DW,28596818,2009
2742,Final Analysis,WB,28590665,1992
2743,SwimFan,Fox,28564995,2002
2744,We Own the Night,Sony,28563179,2007
2745,Mr. Brooks,MGM,28549298,2007
2746,Brothers,LGF,28544157,2009
2747,The Out-of-Towners,Par.,28544120,1999
2748,Child's Play 2,Uni.,28501605,1990
2749,House Calls,Uni.,28460702,1978
2750,High Road to China,WB,28445927,1983
2751,Employee of the Month,LGF,28444855,2006
2752,The Crocodile Hunter: Collision Course,MGM,28442574,2002
2753,Garfield: A Tail of Two Kitties,Fox,28426747,2006
2754,Stop! Or My Mom Will Shoot!,Uni.,28411210,1992
2755,The Nut Job 2: Nutty by Nature,ORF,28370522,2017
2756,The Shawshank Redemption,Col.,28341469,1994
2757,After the Sunset,NL,28331233,2004
2758,Taxi Driver,Col.,28262574,1976
2759,Victor/Victoria,MGM,28215453,1982
2760,Doom,Uni.,28212337,2005
2761,Ernest Saves Christmas,BV,28202109,1988
2762,The Prince and Me,Par.,28176497,2004
2763,The Ant Bully,WB,28142535,2006
2764,Abduction,LGF,28087155,2011
2765,Grosse Pointe Blank,BV,28084357,1997
2766,Johnny English,Uni.,28082366,2003
2767,Cannonball Run II,WB,28078073,1984
2768,Police Academy 4: Citizens on Patrol,WB,28061343,1987
2769,Slap Shot,Uni.,28e6,1977
2770,Who's Afraid of Virginia Woolf?,WB,28e6,1966
2771,Loaded Weapon 1,NL,27979399,1993
2772,The Rescuers Down Under,BV,27931461,1990
2773,Menace II Society,NL,27912072,1993
2774,The Edge,Fox,27873386,1997
2775,Beastly,CBS,27865571,2011
2776,Moonlight (2016),A24,27854932,2016
2777,Crank,LGF,27838408,2006
2778,Soul Man,NW,2782e4,1986
2779,The Other Sister,BV,27807627,1999
2780,The Majestic,WB,27807266,2001
2781,My Life,Col.,27804899,1993
2782,Rings,Par.,27793018,2017
2783,Logan Lucky,BST,27780977,2017
2784,The Switch,Mira.,27779426,2010
2785,Teachers,MGM,27774237,1984
2786,Sinister 2,Focus,27740955,2015
2787,Internal Affairs,Par.,27734391,1990
2788,Oculus,Rela.,27695246,2014
2789,Saw VI,LGF,27693292,2009
2790,Hannibal Rising,MGM/W,27670986,2007
2791,The Island of Dr. Moreau,NL,27663982,1996
2792,Murder on the Orient Express,Par.,27634716,1974
2793,Cadillac Man,Orion,27627310,1990
2794,The Finest Hours,BV,27569558,2016
2795,Do the Right Thing,Uni.,27545445,1989
2796,Poetic Justice,Col.,27515786,1993
2797,Three Days of the Condor,Par.,27476252,1975
2798,Friday,NL,27467564,1995
2799,Love & Basketball,NL,27459615,2000
2800,The Brothers,SGem,27457409,2001
2801,Memphis Belle,WB,27441977,1990
2802,Desperately Seeking Susan,Orion,27398584,1985
2803,Florence Foster Jenkins,Par.,27383770,2016
2804,The Last Witch Hunter,LG/S,27367660,2015
2805,Brown Sugar,FoxS,27363891,2002
2806,Someone Like You,Fox,27343067,2001
2807,Dallas Buyers Club,Focus,27298285,2013
2808,No Escape,Wein.,27288872,2015
2809,High Fidelity,BV,27287137,2000
2810,The Muppet Christmas Carol,BV,27281507,1992
2811,Baby Geniuses,Sony,27250736,1999
2812,The Bridge on the River Kwai,Col.,272e5,1957
2813,A Passage to India,Col.,27187653,1984
2814,Brooklyn's Finest,Over.,27163593,2010
2815,Airplane II: The Sequel,Par.,27150534,1982
2816,The Jazz Singer,Uni.,27118e3,1980
2817,Now and Then,NL,27112329,1995
2818,Cloud Atlas,WB,27108272,2012
2819,Flash Gordon,Uni.,27107960,1980
2820,The Story of Us,Uni.,27100031,1999
2821,All Dogs Go to Heaven,UA,27100027,1989
2822,Fast Times at Ridgemont High,Uni.,27092880,1982
2823,Joe Dirt,Sony,27087695,2001
2824,The Musketeer,Uni.,27073640,2001
2825,Guarding Tess,TriS,27058304,1994
2826,Home Again,ORF,27020284,2017
2827,The Missing,SonR,27011180,2003
2828,Hell or High Water,LGF,27007844,2016
2829,The Big Hit,Sony,27007143,1998
2830,Spy Hard,BV,26960191,1996
2831,Rush (2013),Uni.,26947624,2013
2832,Stick It,BV,26910736,2006
2833,The Women (2008),PicH,26902075,2008
2834,That's Entertainment!,MGM,26890200,1974
2835,The French Lieutenant's Woman,MGM,26890068,1981
2836,One Missed Call,WB,26890041,2008
2837,Eye for an Eye,Par.,26877589,1996
2838,Paulie,DW,26875268,1998
2839,XXX: State of the Union,SonR,26873932,2005
2840,Going in Style,WB,26869286,1979
2841,Elizabethtown,Par.,26850426,2005
2842,Resident Evil: The Final Chapter,SGem,26830068,2017
2843,Glory,TriS,26828365,1989
2844,Ricki and the Flash,TriS,26822144,2015
2845,The Other Boleyn Girl,Sony,26814957,2008
2846,Basic,Sony,26793311,2003
2847,Garden State,FoxS,26782316,2004
2848,The Best of Me,Rela.,26766213,2014
2849,A Man Apart,NL,26736098,2003
2850,Overboard,MGM,26713187,1987
2851,Baby Boom,UA,26712476,1987
2852,Winnie the Pooh,BV,26692846,2011
2853,Event Horizon,Par.,26673242,1997
2854,Prizzi's Honor,Fox,26657534,1985
2855,The Host (2013),ORF,26627201,2013
2856,The Forest,Focus,26594261,2016
2857,Machete,Fox,26593646,2010
2858,A Clockwork Orange,WB,26589355,1972
2859,An American Werewolf in Paris,BV,26570463,1997
2860,Harriet the Spy,Par.,26570048,1996
2861,Bulworth,Fox,26528185,1998
2862,Damien: The Omen Part II,Fox,26518355,1978
2863,Blast from the Past,NL,26511114,1999
2864,The Woman in Black 2: Angel of Death,Rela.,26501323,2015
2865,First Kid,BV,26491793,1996
2866,Sinbad: Legend of the Seven Seas,DW,26483452,2003
2867,Run All Night,WB,26461644,2015
2868,Book of Shadows: Blair Witch 2,Art.,26437094,2000
2869,Great Expectations,Fox,26420672,1998
2870,Street Kings,FoxS,26418667,2008
2871,The Gauntlet,WB,26414658,1977
2872,One For the Money,LGF,26414527,2012
2873,Ben-Hur (2016),Par.,26410477,2016
2874,Boogie Nights,NL,26400640,1997
2875,House Party,NL,26385627,1990
2876,I.Q.,Par.,26381221,1994
2877,Houseguest,BV,26325256,1995
2878,A Walk Among the Tombstones,Uni.,26307600,2014
2879,Love the Coopers,LGF,26302731,2015
2880,Wildcats,WB,26285544,1986
2881,Private Lessons,JenF,26279e3,1981
2882,Dumb and Dumberer: When Harry Met Lloyd,NL,26276465,2003
2883,Necessary Roughness,Par.,26255594,1991
2884,The Wrestler,FoxS,26238243,2008
2885,Blood Work,WB,26235081,2002
2886,Protocol,WB,26186631,1984
2887,Ramona and Beezus,Fox,26167002,2010
2888,Modern Problems,Fox,26154211,1981
2889,Howards End,SPC,26126837,1992
2890,Jacob's Ladder,TriS,26118851,1990
2891,The Exorcist III,Fox,26098824,1990
2892,Micki and Maude,Col.,26080861,1984
2893,North Dallas Forty,Par.,26079312,1979
2894,That Awkward Moment,Focus,26068955,2014
2895,The Descent,LGF,26024456,2006
2896,The Elephant Man,Par.,26010864,1980
2897,The Adventures of Rocky & Bullwinkle,Uni.,26005820,2000
2898,The World's End,Focus,26004851,2013
2899,Searching,SGem,25944103,2018
2900,Freaky Friday,Dis.,25942e3,1977
2901,The Turning Point,Fox,25933445,1977
2902,The Nanny Diaries,MGM/W,25930652,2007
2903,The Cotton Club,Orion,25928721,1984
2904,Shutter,Fox,25928550,2008
2905,Leap Year,Uni.,25918920,2010
2906,All About the Benjamins,NL,25916319,2002
2907,The Hard Way,Uni.,25895485,1991
2908,Innerspace,WB,25893810,1987
2909,Alex Cross,LG/S,25888412,2012
2910,Frida,Mira.,25885e3,2002
2911,Superhero Movie,MGM/W,25881068,2008
2912,Aeon Flux,Par.,25874337,2005
2913,That Thing You Do!,Fox,25857416,1996
2914,Shadowlands,Sav.,25842377,1993
2915,From Dusk Till Dawn,Mira.,25836616,1996
2916,Betrayed,UA,25816139,1988
2917,Murder at 1600,WB,25804707,1997
2918,The Lazarus Effect,Rela.,25801047,2015
2919,Mr. Woodcock,NL,25799486,2007
2920,Candyman,TriS,25792310,1992
2921,Down Periscope,Fox,25785603,1996
2922,Born to Be Wild (IMAX),WB,25778243,2011
2923,The Last Dragon,TriS,25754284,1985
2924,You Again,BV,25702053,2010
2925,The Outsiders,WB,25697647,1983
2926,21 and Over,Rela.,25682380,2013
2927,Other People's Money,WB,25682090,1991
2928,Dance Flick,Par.,25662155,2009
2929,Crocodile Dundee in Los Angeles,Par.,25635682,2001
2930,Agnes of God,Col.,25627836,1985
2931,Nancy Drew,WB,25612520,2007
2932,Can't Hardly Wait,Sony,25605015,1998
2933,The Mist,MGM/W,25594957,2007
2934,Billy Madison,Uni.,25588734,1995
2935,The House,WB (NL),25584504,2017
2936,Jonah: A VeggieTales Movie,Art.,25581229,2002
2937,Her (2013),WB,25568251,2013
2938,Memento,NM,25544867,2001
2939,Captain Corelli's Mandolin,Uni.,25543895,2001
2940,Funny Farm,WB,25537221,1988
2941,The Muppets Take Manhattan,TriS,25534703,1984
2942,W.,LGF,25534493,2008
2943,Halloween II,Uni.,25533818,1981
2944,Only When I Laugh,Col.,25524778,1981
2945,Serenity,Uni.,25514517,2005
2946,A Nightmare on Elm Street,NL,25504513,1984
2947,The Fourth Kind,Uni.,25486040,2009
2948,Mimic,Mira.,25480490,1997
2949,"My Father, the Hero",BV,25479558,1994
2950,Escape From L.A.,Par.,25477365,1996
2951,Dark Water,BV,25473352,2005
2952,The International,Sony,25450527,2009
2953,Ex Machina,A24,25442958,2015
2954,Tin Men,BV,25411386,1987
2955,Desperado,Sony,25405445,1995
2956,Boyhood,IFC,25352281,2014
2957,Katy Perry: Part of Me,Par.,25326071,2012
2958,Top Five,Par.,25317379,2014
2959,Heartburn,Par.,25314189,1986
2960,The Woman in Red,Orion,25308147,1984
2961,The Transporter,Fox,25296447,2002
2962,Sweet November,WB,25288103,2001
2963,Jersey Girl,Mira.,25268157,2004
2964,Escape from New York,Emb,25244626,1981
2965,Fallen,WB,25232289,1998
2966,Alien Nation,Fox,25216243,1988
2967,Black Widow,Fox,25205460,1987
2968,Aliens in the Attic,Fox,25200412,2009
2969,Twisted,Par.,25198598,2004
2970,Don't Tell Mom the Babysitter's Dead,WB,25196249,1991
2971,Nurse Betty,USA,25170054,2000
2972,The Morning After,Fox,25147055,1986
2973,Fly Away Home,Sony,25143818,1996
2974,The Witch,A24,25138705,2016
2975,Escape Plan,LG/S,25135965,2013
2976,The Reaping,WB,25126214,2007
2977,Killer Elite,ORF,25124966,2011
2978,All the Money in the World,TriS,25113707,2017
2979,Alpha and Omega,LGF,25107267,2010
2980,The Cutting Edge,MGM,25105517,1992
2981,Midnight in the Garden of Good & Evil,WB,25105255,1997
2982,Problem Child 2,Uni.,25104700,1991
2983,"The Good, the Bad and the Ugly",UA,251e5,1967
2984,In the Name of the Father,Uni.,25096862,1993
2985,Winchester,LGF,25091816,2018
2986,Navy Seals,Orion,25069101,1990
2987,Moscow on the Hudson,Col.,25068724,1984
2988,The Wood,Par.,25059640,1999
2989,Wyatt Earp,WB,25052e3,1994
2990,Grindhouse,W/Dim.,25037897,2007
2991,Ernest Goes to Jail,BV,25029569,1990
2992,Kingpin,MGM,25023434,1996
2993,In the Heart of the Sea,WB,25020758,2015
2994,The November Man,Rela.,25018119,2014
2995,Little Man Tate,Orion,25010896,1991
2996,Piranha 3D,W/Dim.,25003155,2010
2997,Invasion of the Body Snatchers,UA,24946533,1978
2998,Fright Night,Col.,24922237,1985
2999,Never Back Down,Sum.,24850922,2008
3000,Season of the Witch,Rela.,24827228,2011
3001,Quiz Show,BV,24822619,1994
3002,The Craft,Sony,24819936,1996
3003,Our Idiot Brother,Wein.,24816118,2011
3004,Gifted,FoxS,24801212,2017
3005,"From Russia, with Love",UA,24796765,1964
3006,Thank You for Smoking,FoxS,24793509,2006
3007,Waking Ned Devine,FoxS,24792251,1998
3008,The Man Without a Face,WB,24760338,1993
3009,Arlington Road,Sony,24756177,1999
3010,"sex, lies and videotape",Mira.,24741667,1989
3011,Gorillas in the Mist,Uni.,24720479,1988
3012,Lottery Ticket,WB,24719879,2010
3013,The Sweetest Thing,Sony,24718164,2002
3014,Ghost Dad,Uni.,24707633,1990
3015,Ballerina (2017) [Canada Only],EOne,24702560,2017
3016,Summer Rental,Par.,24689703,1985
3017,Operation Dumbo Drop,BV,24670346,1995
3018,The Other Side of Midnight,Fox,24652021,1977
3019,Ferngully: The Last Rainforest,Fox,24650296,1992
3020,Jet Li's Fearless,Rog.,24633730,2006
3021,Fargo,Gram.,24611975,1996
3022,Strangers: Prey at Night,Aviron,24586708,2018
3023,Sicko,LGF,24540079,2007
3024,Unleashed,Rog.,24537621,2005
3025,Don Jon,Rela.,24477704,2013
3026,The Emerald Forest,Emb,24468550,1985
3027,Downsizing,Par.,24449754,2017
3028,Sling Blade,Mira.,24444121,1996
3029,Lucky Lady,Fox,24441725,1975
3030,Elektra,Fox,24409722,2005
3031,15 Minutes,NL,24403552,2001
3032,Ice Princess,BV,24402491,2005
3033,Sparkle (2012),TriS,24397469,2012
3034,Dolores Claiborne,Sony,24361867,1995
3035,Across the Universe,SonR,24343673,2007
3036,Renaissance Man,BV,24332324,1994
3037,The Spy Next Door,LGF,24307086,2010
3038,Class Action,Fox,24277858,1991
3039,Hoffa,Fox,24276506,1992
3040,Bronco Billy,WB,24265659,1980
3041,Bridget Jones's Baby,Uni.,24252420,2016
3042,The People Under the Stairs,Uni.,24204154,1991
3043,Hearts in Atlantis,WB,24185781,2001
3044,Angel Eyes,WB,24174218,2001
3045,Iron Eagle,TriS,24159872,1986
3046,Lord of War,Lions,24149632,2005
3047,"Tinker, Tailor, Soldier, Spy",Focus,24149393,2011
